r,g,b,cor
134,20,17,vermelho
134,20,17,vermelho
134,20,17,vermelho
134,20,17,vermelho
134,20,16,vermelho
134,19,16,vermelho
126,38,18,vermelho
116,24,22,vermelho
121,22,18,vermelho
124,24,19,vermelho
114,24,20,vermelho
133,21,18,vermelho
139,20,17,vermelho
131,21,19,vermelho
129,24,21,vermelho
135,21,18,vermelho
125,21,17,vermelho
129,21,17,vermelho
128,22,19,vermelho
121,22,18,vermelho
131,22,19,vermelho
123,23,20,vermelho
122,22,19,vermelho
123,22,21,vermelho
125,21,19,vermelho
115,23,19,vermelho
127,23,17,vermelho
135,20,16,vermelho
132,21,18,vermelho
132,22,18,vermelho
132,22,18,vermelho
132,22,18,vermelho
131,19,15,vermelho
131,20,16,vermelho
128,20,16,vermelho
131,20,16,vermelho
128,20,17,vermelho
128,20,15,vermelho
122,21,16,vermelho
126,20,16,vermelho
133,20,16,vermelho
129,19,16,vermelho
132,19,15,vermelho
130,19,16,vermelho
131,21,18,vermelho
131,22,18,vermelho
131,22,18,vermelho
131,22,18,vermelho
131,23,18,vermelho
131,22,18,vermelho
133,24,20,vermelho
133,24,20,vermelho
133,24,20,vermelho
133,21,17,vermelho
134,20,17,vermelho
136,20,17,vermelho
141,20,18,vermelho
143,22,17,vermelho
129,21,18,vermelho
115,21,17,vermelho
135,21,76,vermelho
136,19,16,vermelho
117,21,16,vermelho
122,19,16,vermelho
121,19,16,vermelho
127,19,16,vermelho
132,21,16,vermelho
132,21,17,vermelho
132,20,16,vermelho
132,20,16,vermelho
107,21,18,vermelho
132,20,16,vermelho
131,20,16,vermelho
131,21,17,vermelho
131,20,16,vermelho
131,20,17,vermelho
131,21,17,vermelho
131,21,16,vermelho
133,20,17,vermelho
112,22,18,vermelho
116,22,20,vermelho
121,22,18,vermelho
108,22,17,vermelho
131,19,16,vermelho
131,20,17,vermelho
131,19,16,vermelho
131,19,15,vermelho
131,19,16,vermelho
125,20,15,vermelho
130,19,15,vermelho
127,21,17,vermelho
119,21,17,vermelho
128,20,16,vermelho
125,20,16,vermelho
119,20,17,vermelho
128,20,16,vermelho
129,20,16,vermelho
127,20,16,vermelho
124,19,16,vermelho
131,21,17,vermelho
126,21,17,vermelho
133,22,18,vermelho
133,23,18,vermelho
133,21,17,vermelho
132,21,17,vermelho
132,21,17,vermelho
127,21,19,vermelho
121,23,20,vermelho
119,22,18,vermelho
112,21,18,vermelho
122,20,17,vermelho
119,20,17,vermelho
118,21,19,vermelho
121,20,17,vermelho
115,22,19,vermelho
114,22,18,vermelho
126,19,18,vermelho
131,21,16,vermelho
131,20,17,vermelho
131,20,16,vermelho
131,20,16,vermelho
131,20,16,vermelho
131,20,15,vermelho
131,19,15,vermelho
117,20,16,vermelho
127,20,16,vermelho
131,19,15,vermelho
129,19,15,vermelho
131,20,16,vermelho
140,20,16,vermelho
141,20,15,vermelho
145,21,16,vermelho
146,21,16,vermelho
145,21,16,vermelho
144,20,15,vermelho
149,22,17,vermelho
146,21,16,vermelho
147,20,15,vermelho
137,18,14,vermelho
133,19,16,vermelho
133,20,16,vermelho
133,20,16,vermelho
133,19,15,vermelho
146,21,16,vermelho
149,21,16,vermelho
149,22,16,vermelho
150,21,16,vermelho
151,21,16,vermelho
156,22,18,vermelho
156,22,18,vermelho
132,21,16,vermelho
133,22,18,vermelho
158,23,18,vermelho
163,23,19,vermelho
165,24,17,vermelho
136,19,16,vermelho
132,18,15,vermelho
132,18,15,vermelho
132,19,16,vermelho
145,21,17,vermelho
152,22,19,vermelho
145,21,16,vermelho
133,18,15,vermelho
132,19,15,vermelho
132,19,17,vermelho
132,20,17,vermelho
160,24,18,vermelho
159,24,18,vermelho
152,24,17,vermelho
155,24,19,vermelho
154,24,18,vermelho
155,24,19,vermelho
155,24,19,vermelho
155,24,19,vermelho
155,24,18,vermelho
155,24,19,vermelho
154,23,17,vermelho
174,27,20,vermelho
178,25,17,vermelho
178,25,20,vermelho
157,24,18,vermelho
155,23,17,vermelho
163,23,17,vermelho
166,24,17,vermelho
166,23,17,vermelho
168,23,17,vermelho
156,23,17,vermelho
155,23,17,vermelho
17,55,74,azul
20,56,74,azul
20,56,74,azul
21,56,74,azul
21,56,74,azul
21,56,75,azul
21,56,78,azul
27,62,85,azul
29,61,81,azul
29,62,82,azul
30,66,83,azul
30,56,74,azul
20,55,73,azul
20,55,73,azul
20,55,73,azul
19,55,73,azul
